E_nu[MeV],Flux_per_MeV
1.80,0.768568
1.81,0.764633
1.82,0.760646
1.83,0.756613
1.84,0.752548
1.85,0.748464
1.86,0.744367
1.87,0.740257
1.88,0.736134
1.89,0.731965
1.90,0.727758
1.91,0.723505
1.92,0.7192
1.93,0.714863
1.94,0.710493
1.95,0.706085
1.96,0.701657
1.97,0.697203
1.98,0.692756
1.99,0.688296
2.00,0.683855
2.01,0.67944
2.02,0.675032
2.03,0.670636
2.04,0.666247
2.05,0.661871
2.06,0.657482
2.07,0.653074
2.08,0.648627
2.09,0.644111
2.10,0.639519
2.11,0.634831
2.12,0.630089
2.13,0.625316
2.14,0.620555
2.15,0.615847
2.16,0.611215
2.17,0.606638
2.18,0.602094
2.19,0.597559
2.20,0.593002
2.21,0.588407
2.22,0.583782
2.23,0.579132
2.24,0.574511
2.25,0.569906
2.26,0.565356
2.27,0.560841
2.28,0.55637
2.29,0.551938
2.30,0.547542
2.31,0.543182
2.32,0.538855
2.33,0.534575
2.34,0.530345
2.35,0.526179
2.36,0.522068
2.37,0.518012
2.38,0.514005
2.39,0.51002
2.40,0.506047
2.41,0.50209
2.42,0.498154
2.43,0.494264
2.44,0.490438
2.45,0.4867
2.46,0.483057
2.47,0.479518
2.48,0.476055
2.49,0.472665
2.50,0.469333
2.51,0.466045
2.52,0.462815
2.53,0.459636
2.54,0.456507
2.55,0.453431
2.56,0.450413
2.57,0.447437
2.58,0.444491
2.59,0.441557
2.60,0.43862
2.61,0.435683
2.62,0.432739
2.63,0.42981
2.64,0.426919
2.65,0.42407
2.66,0.421278
2.67,0.418535
2.68,0.415824
2.69,0.413144
2.70,0.410472
2.71,0.407807
2.72,0.405149
2.73,0.402483
2.74,0.399816
2.75,0.397151
2.76,0.394484
2.77,0.391816
2.78,0.389142
2.79,0.386463
2.80,0.383778
2.81,0.381083
2.82,0.378379
2.83,0.375665
2.84,0.372945
2.85,0.370222
2.86,0.367492
2.87,0.364764
2.88,0.362046
2.89,0.359351
2.90,0.356685
2.91,0.35405
2.92,0.351442
2.93,0.348854
2.94,0.346278
2.95,0.343702
2.96,0.341122
2.97,0.338545
2.98,0.335981
2.99,0.333439
3.00,0.330927
3.01,0.328453
3.02,0.326018
3.03,0.323629
3.04,0.321271
3.05,0.31896
3.06,0.316683
3.07,0.314439
3.08,0.312221
3.09,0.310022
3.10,0.307832
3.11,0.30565
3.12,0.303474
3.13,0.301302
3.14,0.299138
3.15,0.296982
3.16,0.29484
3.17,0.292707
3.18,0.290584
3.19,0.288476
3.20,0.286383
3.21,0.284302
3.22,0.282236
3.23,0.28017
3.24,0.278108
3.25,0.276043
3.26,0.273972
3.27,0.271897
3.28,0.269821
3.29,0.267739
3.30,0.265659
3.31,0.26358
3.32,0.261501
3.33,0.259424
3.34,0.257342
3.35,0.255254
3.36,0.253167
3.37,0.251075
3.38,0.248985
3.39,0.246901
3.40,0.244826
3.41,0.242759
3.42,0.240703
3.43,0.238659
3.44,0.236627
3.45,0.234596
3.46,0.232577
3.47,0.230567
3.48,0.228567
3.49,0.226583
3.50,0.224618
3.51,0.222667
3.52,0.220736
3.53,0.21883
3.54,0.216946
3.55,0.215088
3.56,0.213261
3.57,0.211448
3.58,0.209647
3.59,0.207845
3.60,0.206031
3.61,0.2042
3.62,0.202364
3.63,0.200529
3.64,0.198714
3.65,0.196932
3.66,0.195188
3.67,0.193483
3.68,0.191807
3.69,0.190152
3.70,0.188515
3.71,0.186889
3.72,0.185272
3.73,0.183665
3.74,0.18207
3.75,0.180488
3.76,0.178917
3.77,0.177356
3.78,0.175811
3.79,0.174274
3.80,0.172755
3.81,0.171245
3.82,0.169749
3.83,0.168257
3.84,0.166774
3.85,0.165289
3.86,0.163806
3.87,0.162327
3.88,0.160855
3.89,0.159399
3.90,0.157964
3.91,0.156551
3.92,0.155161
3.93,0.153782
3.94,0.152418
3.95,0.151054
3.96,0.1497
3.97,0.148344
3.98,0.146997
3.99,0.145664
4.00,0.144333
4.01,0.143022
4.02,0.141725
4.03,0.140435
4.04,0.139157
4.05,0.137888
4.06,0.136623
4.07,0.135367
4.08,0.134117
4.09,0.132875
4.10,0.131642
4.11,0.130418
4.12,0.129205
4.13,0.127999
4.14,0.126803
4.15,0.125615
4.16,0.124435
4.17,0.123262
4.18,0.122097
4.19,0.12094
4.20,0.11979
4.21,0.118645
4.22,0.117504
4.23,0.116368
4.24,0.115229
4.25,0.114086
4.26,0.112939
4.27,0.111788
4.28,0.11063
4.29,0.109469
4.30,0.108305
4.31,0.107138
4.32,0.105975
4.33,0.104819
4.34,0.103675
4.35,0.102553
4.36,0.101451
4.37,0.100369
4.38,0.0993014
4.39,0.0982441
4.40,0.0971919
4.41,0.0961429
4.42,0.0950966
4.43,0.0940561
4.44,0.0930246
4.45,0.0920062
4.46,0.0910013
4.47,0.0900101
4.48,0.0890318
4.49,0.0880632
4.50,0.0871063
4.51,0.0861585
4.52,0.0852198
4.53,0.0842934
4.54,0.0833767
4.55,0.0824743
4.56,0.0815855
4.57,0.0807096
4.58,0.0798467
4.59,0.0789955
4.60,0.0781553
4.61,0.0773255
4.62,0.0765061
4.63,0.0756989
4.64,0.0749028
4.65,0.0741197
4.66,0.0733508
4.67,0.0725923
4.68,0.0718455
4.69,0.071109
4.70,0.070381
4.71,0.0696613
4.72,0.0689508
4.73,0.0682507
4.74,0.0675602
4.75,0.0668821
4.76,0.0662163
4.77,0.0655622
4.78,0.0649184
4.79,0.0642836
4.80,0.0636561
4.81,0.0630361
4.82,0.062422
4.83,0.0618144
4.84,0.0612145
4.85,0.0606216
4.86,0.0600365
4.87,0.0594563
4.88,0.0588788
4.89,0.0583028
4.90,0.057726
4.91,0.0571457
4.92,0.0565669
4.93,0.0559947
4.94,0.0554337
4.95,0.0548882
4.96,0.0543622
4.97,0.0538516
4.98,0.0533513
4.99,0.0528566
5.00,0.0523619
5.01,0.0518634
5.02,0.0513633
5.03,0.0508634
5.04,0.0503674
5.05,0.0498775
5.06,0.0493967
5.07,0.0489233
5.08,0.0484561
5.09,0.047993
5.10,0.047533
5.11,0.0470739
5.12,0.0466165
5.13,0.0461597
5.14,0.0457036
5.15,0.0452492
5.16,0.0447962
5.17,0.0443443
5.18,0.0438951
5.19,0.0434493
5.20,0.0430065
5.21,0.0425689
5.22,0.0421352
5.23,0.0417049
5.24,0.0412784
5.25,0.0408547
5.26,0.0404332
5.27,0.0400143
5.28,0.0395979
5.29,0.0391833
5.30,0.0387703
5.31,0.0383587
5.32,0.037949
5.33,0.0375409
5.34,0.037135
5.35,0.0367313
5.36,0.0363301
5.37,0.0359319
5.38,0.035538
5.39,0.0351483
5.40,0.0347637
5.41,0.0343855
5.42,0.0340121
5.43,0.0336434
5.44,0.0332798
5.45,0.032919
5.46,0.0325614
5.47,0.0322073
5.48,0.0318579
5.49,0.0315142
5.50,0.0311771
5.51,0.0308465
5.52,0.0305224
5.53,0.0302046
5.54,0.0298914
5.55,0.0295827
5.56,0.029277
5.57,0.0289749
5.58,0.0286758
5.59,0.028379
5.60,0.0280844
5.61,0.0277918
